Test Type,Power Step (%),Input Voltage RMS (V),Input Current RMS (A),Input Active Power (W),Input Reactive Power (Var),Input Apparent Power (VA),Input (Total) Power Factor,Input THDV (%),Input THDI (%),Output Voltage RMS (V),Output Current RMS (A),Output Active Power (W),Output Reactive Power (Var),Output Apparent Power (VA),Output (Total) Power Factor,Output THDV (%),Output THDI (%),Efficiency (%)
Increasing Power,0,123.67444610595703,0.0025495593436062336,0.022750171050298317,0.314493546558649,0.3153153359889984,0.07215053774324534,0.6485293550133616,357.39244269062,5.043293476104736,0.0028747557662427425,0.001186981817185527,0.014449565334644752,0.01449823658913374,0.08187077165475119,191.49806454091595,118.38764319838226,5.217463264611202
Increasing Power,10,122.19205474853516,0.005525531247258186,0.17291381421906887,0.6526587751855476,0.6751760244369507,0.2561018282058621,0.4934748349616946,204.65754191265896,4.99188756942749,0.01982586272060871,0.09792416324382272,None (DC),None (DC),None (DC),None (DC),None (DC),56.631775596459946
Increasing Power,20,122.24896240234375,0.013419000431895256,0.5128501089030302,1.5582329457745427,1.6404588222503662,0.312626017762218,0.5250469157410534,219.7513997076414,4.952639579772949,0.07326719909906387,0.36259195204520706,None (DC),None (DC),None (DC),None (DC),None (DC),70.70135030696972
Increasing Power,30,122.26775360107422,0.022387288510799408,0.9519266490211948,2.5663860118774036,2.737243413925171,0.34776835855315646,0.5332732024937891,226.67702982954032,4.882938861846924,0.14226461946964264,0.694526196469226,None (DC),None (DC),None (DC),None (DC),None (DC),72.9600539267771
Increasing Power,40,122.26783752441406,0.030251195654273033,1.3864478818534156,3.429067165949501,3.6987483501434326,0.37484244685087886,0.48970327177918105,196.31386925922263,4.840764999389648,0.20685778558254242,1.0012536201987123,None (DC),None (DC),None (DC),None (DC),None (DC),72.21718416564119
Increasing Power,50,122.17911529541016,0.03719053044915199,1.8271543151364535,4.160359452114056,4.543906211853027,0.4021109217373857,0.5174648826025473,192.44161192641508,4.769568920135498,0.27491146326065063,1.3111371874618736,None (DC),None (DC),None (DC),None (DC),None (DC),71.75842656529844
Increasing Power,60,122.24535369873047,0.04222704842686653,2.1924048755065932,4.67335286466833,5.162060260772705,0.42471508753336673,0.619251208802255,205.00987736273632,4.715601444244385,0.33034777641296387,1.557727933132284,None (DC),None (DC),None (DC),None (DC),None (DC),71.05110696181717
Increasing Power,70,122.28790283203125,0.047405581921339035,2.587677282484178,5.187545923869264,5.797129154205322,0.4463721979709628,0.6353118939209695,194.1013520662225,4.67781925201416,0.38514524698257446,1.801587929287507,None (DC),None (DC),None (DC),None (DC),None (DC),69.62181650248044
Increasing Power,80,123.65191650390625,0.051779743283987045,2.938859582193881,5.6883406299713855,6.402664661407471,0.4590057011587803,0.5434380907586247,174.68208561700231,4.645495414733887,0.43487247824668884,2.0201485485878554,None (DC),None (DC),None (DC),None (DC),None (DC),68.73919941012626
Increasing Power,90,123.60272216796875,0.055223122239112854,3.1812029738771286,6.03908238510049,6.825728416442871,0.46606058427606856,0.5929808300105824,177.48099213688835,4.6163201332092285,0.4690795838832855,2.165376753981423,None (DC),None (DC),None (DC),None (DC),None (DC),68.06785897544741
Increasing Power,100,123.72703552246094,0.06027461215853691,3.5722535628903134,6.546356983790478,7.45759916305542,0.47900852335790345,0.6465611776867713,175.94174170220398,4.571197986602783,0.5226733088493347,2.389198592356496,None (DC),None (DC),None (DC),None (DC),None (DC),66.8821109782418
Decreasing Power,0,122.24618530273438,0.002553696045652032,0.021354850184113327,0.3114483425109782,0.3121795952320099,0.06840565658444953,0.47299688037935744,247.25870948614835,5.02431058883667,0.00285130157135427,0.0010077148096785053,0.014290338007320814,0.014325824566185474,0.07034253456217136,150.24904413858235,112.3465167033304,4.718903672891052
Decreasing Power,10,122.08130645751953,0.005564993247389793,0.1714396327285749,0.6573947854338865,0.6793816685676575,0.2523465684466018,0.4969289981633466,206.44554572502307,4.995595932006836,0.019816508516669273,0.09793362811960206,None (DC),None (DC),None (DC),None (DC),None (DC),57.124263836152544
Decreasing Power,20,122.2542953491211,0.01373707503080368,0.5253117047793867,1.595144858037515,1.6794164180755615,0.3127941939387135,0.4341703434661044,179.97317055316384,5.017051696777344,0.07421909272670746,0.3720862826156975,None (DC),None (DC),None (DC),None (DC),None (DC),70.83152330899637
Decreasing Power,30,122.27762603759766,0.022670511156320572,0.9609857566045135,2.600197069744149,2.7720963954925537,0.34666390323478014,0.4322110339603001,169.34802972141705,4.913795471191406,0.14313432574272156,0.7031916668649638,None (DC),None (DC),None (DC),None (DC),None (DC),73.17399472699543
Decreasing Power,40,122.21747589111328,0.030402829870581627,1.384910529155782,3.4480246355116653,3.715757131576538,0.3727128765727985,0.435536683425184,171.15122197624544,4.847285747528076,0.20710419118404388,1.003797340889862,None (DC),None (DC),None (DC),None (DC),None (DC),72.48102456855172
Decreasing Power,50,122.22208404541016,0.037139490246772766,1.8352651517081464,4.151715143826379,4.539266109466553,0.4043087819594308,0.41317247336212937,157.34211292163695,4.773329257965088,0.2748737931251526,1.3119908527847615,None (DC),None (DC),None (DC),None (DC),None (DC),71.48780935352285
Decreasing Power,60,122.15504455566406,0.04248037934303284,2.2038058103622964,4.697974198979087,5.189192771911621,0.4246914514895632,0.3822976017572964,158.71101035439216,4.718035697937012,0.3300381898880005,1.5570714767203597,None (DC),None (DC),None (DC),None (DC),None (DC),70.65375131506636
Decreasing Power,70,122.2323989868164,0.04754186421632767,2.5720875307196955,5.210940698400236,5.811156272888184,0.4426120052423493,0.3834456120103248,151.93439847109462,4.677709579467773,0.3827325701713562,1.7902579907875051,None (DC),None (DC),None (DC),None (DC),None (DC),69.6033074071384
Decreasing Power,80,122.21134185791016,0.05234710872173309,2.9382740458316863,5.682728690074979,6.3974103927612305,0.45929116086665145,0.3936281151365938,146.70772283622756,4.638084888458252,0.43332093954086304,2.0097307011910783,None (DC),None (DC),None (DC),None (DC),None (DC),68.39834099348683
Decreasing Power,90,122.38037109375,0.056042298674583435,3.2150659434667506,6.058222455869031,6.8584771156311035,0.46877256995424216,0.5100748499610319,168.43165053629562,4.605988502502441,0.4706563949584961,2.167792602448281,None (DC),None (DC),None (DC),None (DC),None (DC),67.42606965351347
Decreasing Power,100,122.23757934570312,0.06140470504760742,3.608914041581665,6.5814292192308095,7.505962371826172,0.4808063060811255,0.3906460978109614,142.51787858779568,4.56058406829834,0.523248553276062,2.3862753106485384,None (DC),None (DC),None (DC),None (DC),None (DC),66.12169985635664
Random Power,0,123.68455505371094,0.0025235021021217108,0.0217056903488992,0.31136257628282177,0.3121182322502136,0.06954316699928811,0.6488840878453669,345.1120492531162,5.0360798835754395,0.002885668072849512,0.001067186472176006,0.014493218014932066,0.014532455243170261,0.07343469870155256,150.53803710913462,111.4953275291601,4.91662073411145
Random Power,10,123.73060607910156,0.005404388532042503,0.17123012918102973,0.6463932872244353,0.6686882972717285,0.25606867935277855,0.666321176468709,332.84208608898695,5.0055766105651855,0.019830044358968735,0.09822973090960037,None (DC),None (DC),None (DC),None (DC),None (DC),57.36708333949155
Random Power,20,123.72899627685547,0.013490138575434685,0.5244899983557441,1.5845744035144793,1.669121265411377,0.3142312120901992,0.6373142158841859,284.8058104001646,5.027187824249268,0.07441544532775879,0.3738217058462441,None (DC),None (DC),None (DC),None (DC),None (DC),71.27337165973817
Random Power,30,123.66728973388672,0.02212819643318653,0.9497444747388974,2.5664380793721278,2.7365341186523438,0.3470610756377547,0.6401442761615114,266.2589946579236,4.896060466766357,0.1427438110113144,0.698739784193268,None (DC),None (DC),None (DC),None (DC),None (DC),73.57134500680982
Random Power,40,123.63749694824219,0.02988036535680294,1.3827016252845674,3.4258191164418776,3.694333553314209,0.3742763357261386,0.5694588772954238,216.918723684295,4.844125270843506,0.207534059882164,1.0052239468929078,None (DC),None (DC),None (DC),None (DC),None (DC),72.69999025899946
Random Power,50,123.73322296142578,0.03688111901283264,1.8316787543910773,4.179683407154477,4.563419818878174,0.4013829161221812,0.6370650302082458,218.9381259816054,4.77456521987915,0.27571365237236023,1.3163394344707866,None (DC),None (DC),None (DC),None (DC),None (DC),71.86519095202314
Random Power,60,123.62786865234375,0.04200301691889763,2.2017855754850872,4.702842042183976,5.192743301391602,0.4240120197921263,0.652999244957013,207.80210181051694,4.712148666381836,0.33167728781700134,1.5628519725433425,None (DC),None (DC),None (DC),None (DC),None (DC),70.98111596080477
Random Power,70,123.70295715332031,0.04712483286857605,2.582126225578854,5.226420796346765,5.82948112487793,0.4429427199891524,0.6850699272811364,196.51798081247802,4.672129154205322,0.3860456347465515,1.8036024379014266,None (DC),None (DC),None (DC),None (DC),None (DC),69.84950696967186
Random Power,80,123.67076873779297,0.05213532596826553,2.9481350568802607,5.734130005019175,6.447615623474121,0.4572442324487915,0.6212055440293464,186.9481120407013,4.638760089874268,0.4373238980770111,2.0285941945587687,None (DC),None (DC),None (DC),None (DC),None (DC),68.80940511271702
