Test Type,Power Step (%),Input Voltage RMS (V),Input Current RMS (A),Input Active Power (W),Input Reactive Power (Var),Input Apparent Power (VA),Input (Total) Power Factor,Input THDV (%),Input THDI (%),Output Voltage RMS (V),Output Current RMS (A),Output Active Power (W),Output Reactive Power (Var),Output Apparent Power (VA),Output (Total) Power Factor,Output THDV (%),Output THDI (%),Efficiency (%)
Increasing Power,0,122.40968322753906,0.02226329781115055,0.33342548095094393,2.7047696124387564,2.725243330001831,0.12234704963050765,0.6565567622588051,40.98183121795502,18.60236358642578,0.00285281240940094,0.003925709579159487,0.05292365644424137,0.05306905508041382,0.07397360991656977,238.3135061746522,119.45240570448354,1.1773873934179215
Increasing Power,10,122.36487579345703,0.062283359467983246,2.3957456801018924,7.23495314461306,7.62129545211792,0.3143488787639281,0.5914387247768313,180.0369407741723,18.59099006652832,0.07277020812034607,1.3518268644515896,None (DC),None (DC),None (DC),None (DC),None (DC),56.42614221030738
Increasing Power,20,122.40319061279297,0.27119022607803345,12.92625673395316,30.57433576343946,33.194549560546875,0.3894090115720854,0.49258037801387594,211.13110067133022,18.54739761352539,0.5611342191696167,10.407442932809484,None (DC),None (DC),None (DC),None (DC),None (DC),80.51397358890796
Increasing Power,30,122.29838562011719,0.4614366888999939,22.89238369984979,51.58117680405061,56.432960510253906,0.4056562599739957,0.5346711772054922,205.69377121882425,18.503835678100586,1.047574520111084,19.384066980346894,None (DC),None (DC),None (DC),None (DC),None (DC),84.67474263273895
Increasing Power,40,122.19017791748047,0.6642369031906128,34.33910394374033,73.5411092611827,81.16322326660156,0.42308699139442346,0.639466068502354,201.33519680996258,18.45206069946289,1.6306148767471313,30.08815773016212,None (DC),None (DC),None (DC),None (DC),None (DC),87.62068392773799
Increasing Power,50,122.21330261230469,0.8177323937416077,43.757095125210355,89.84918157577775,99.93777465820312,0.4378434008047894,0.6076239179450657,180.44359116261944,18.40854263305664,2.1024577617645264,38.703138376386015,None (DC),None (DC),None (DC),None (DC),None (DC),88.44997197743015
Increasing Power,60,122.16276550292969,1.001006007194519,55.76478668684806,108.83046979617201,122.28565979003906,0.4560206551004802,0.765581419475036,175.75290870126628,18.353744506835938,2.695647954940796,49.475189504100626,None (DC),None (DC),None (DC),None (DC),None (DC),88.72120282990194
Increasing Power,70,122.13268280029297,1.1463897228240967,65.28166355318605,123.8610863014982,140.01165771484375,0.46625877172415636,0.8209732771732712,168.59635912528466,18.30964469909668,3.1618428230285645,57.89217601514372,None (DC),None (DC),None (DC),None (DC),None (DC),88.68060779115717
Increasing Power,80,122.10126495361328,1.3008555173873901,75.39413182986335,139.80212175543943,158.8361053466797,0.47466620807219,1.072377292654462,173.43134065358112,18.264617919921875,3.6501357555389404,66.66829059766195,None (DC),None (DC),None (DC),None (DC),None (DC),88.42636552683915
Increasing Power,90,122.01426696777344,1.4582428932189941,86.08448734061254,155.71537546853315,177.9264373779297,0.4838206654908868,1.1004313984796381,163.5557737061696,18.216495513916016,4.164890766143799,75.86966869789018,None (DC),None (DC),None (DC),None (DC),None (DC),88.13396123008185
Increasing Power,100,122.114501953125,1.5916298627853394,95.23096410481925,169.4322709617265,194.361083984375,0.4899692991652332,1.3009597864822273,165.07913803408084,18.175880432128906,4.600889682769775,83.62512847063965,None (DC),None (DC),None (DC),None (DC),None (DC),87.8129600563476
Decreasing Power,0,122.4386978149414,0.0224539153277874,0.3313741895606784,2.729184320806295,2.7492282390594482,0.12053353186639985,0.6526602366758625,44.0579954880975,18.59797477722168,0.002863398753106594,0.003529015415477085,0.05313635631922453,0.0532534159719944,0.06626833886736899,397.6570501736071,114.79909649250433,1.064963876684452
