Test Type,Power Step (%),Input Voltage RMS (V),Input Current RMS (A),Input Active Power (W),Input Reactive Power (Var),Input Apparent Power (VA),Input (Total) Power Factor,Input THDV (%),Input THDI (%),Output Voltage RMS (V),Output Current RMS (A),Output Active Power (W),Output Reactive Power (Var),Output Apparent Power (VA),Output (Total) Power Factor,Output THDV (%),Output THDI (%),Efficiency (%)
Increasing Power,0,123.39778137207031,0.010513129644095898,0.007640741774845577,1.297274380488059,1.2972968816757202,0.005889740338368824,0.5888544631709449,8.890937846957952,19.929738998413086,0.0029103008564561605,-0.0023137743913247072,0.057955368414321806,0.05800153687596321,-0.03989160487717306,89.8403298013039,111.11685688205226,-30.282065007640828
Increasing Power,10,123.408447265625,0.04406888410449028,1.9016322177744505,5.095172297078407,5.438472747802734,0.3496629119899061,0.5922642798260861,203.66212076181714,19.91547966003418,0.07756123691797256,1.543578082311625,None (DC),None (DC),None (DC),None (DC),None (DC),81.17122059060036
Increasing Power,20,123.44837188720703,0.23655842244625092,11.842907966779679,26.6935611371708,29.20275115966797,0.4055408307945987,0.5683836948369613,219.04379222298877,19.839717864990234,0.5252517461776733,10.42068285271229,None (DC),None (DC),None (DC),None (DC),None (DC),87.99091305904896
Increasing Power,30,123.30354309082031,0.44199708104133606,23.1473338986913,49.339940489609894,54.49980545043945,0.4247232390534094,0.4436172382959689,194.53400590694235,19.75263786315918,1.0366696119308472,20.47687877321294,None (DC),None (DC),None (DC),None (DC),None (DC),88.4632280453286
Increasing Power,40,123.33123779296875,0.6083303093910217,33.37132309721706,67.19579658724062,75.02613067626953,0.4447960036911816,0.6352948970594468,193.78951121790996,19.67396354675293,1.500722050666809,29.525094368740152,None (DC),None (DC),None (DC),None (DC),None (DC),88.47444940294365
Increasing Power,50,123.27397918701172,0.7874741554260254,44.45039369775901,86.30024533621149,97.0750732421875,0.4578970915310263,0.6334536331921856,172.39252925292405,19.588451385498047,2.00203800201416,39.21677802354211,None (DC),None (DC),None (DC),None (DC),None (DC),88.2259407873799
Increasing Power,60,123.23330688476562,0.48027700185775757,56.97124493708502,16.03977535928484,59.18612289428711,0.9625777488219983,0.6073678608630861,26.108966620693906,19.4924373626709,2.564460277557373,49.9875499490288,None (DC),None (DC),None (DC),None (DC),None (DC),87.74171953628796
Increasing Power,70,123.17789459228516,0.5653233528137207,67.47015375597988,17.22958579843233,69.63533782958984,0.9689068202855774,0.551938444579334,23.491720697803196,19.408790588378906,3.044926881790161,59.09831778697578,None (DC),None (DC),None (DC),None (DC),None (DC),87.59179355173457
Increasing Power,80,123.08145141601562,0.6370562314987183,76.32699771870178,17.952353218903767,78.40980529785156,0.9734368989791784,0.5920597347004747,21.8533550917616,19.33834457397461,3.445186138153076,66.6241654771333,None (DC),None (DC),None (DC),None (DC),None (DC),87.28781095605564
Increasing Power,90,123.14059448242188,0.7237907648086548,87.18639791119125,18.502366050233412,89.1280288696289,0.9782152597441849,0.5290587623662332,19.505677270765638,19.25174903869629,3.9337925910949707,75.73235617897045,None (DC),None (DC),None (DC),None (DC),None (DC),86.86258177119787
Increasing Power,100,123.1556396484375,0.7924809455871582,95.7901812592759,18.700467773240707,97.59849548339844,0.9814719047136322,0.5688087023976183,18.095849096531083,19.180978775024414,4.3197550773620605,82.85709094325044,None (DC),None (DC),None (DC),None (DC),None (DC),86.49852192990492
Decreasing Power,0,123.33721160888672,0.011024445295333862,0.11763776433918292,1.3546259567773777,1.3597242832183838,0.08651589575258711,0.5762514012664424,25.03021174032294,19.92873191833496,0.0029309845995157957,-0.0014801442020355884,0.05839204809758879,0.058410804718732834,-0.02534024670885751,137.69589804505253,96.9338839964371,-1.2582219751880988
Decreasing Power,10,123.36378479003906,0.04402778297662735,1.8960969115080357,5.089724302646741,5.431434154510498,0.3490969157627428,0.5717225987669183,199.7966993101329,19.915624618530273,0.07759527862071991,1.544262642000066,None (DC),None (DC),None (DC),None (DC),None (DC),81.44428866622945
Decreasing Power,20,123.28484344482422,0.23673154413700104,11.824954348340363,26.682554157257727,29.18541145324707,0.4051666143985357,0.5005810964317389,214.32539420227732,19.83944320678711,0.5252993702888489,10.421488655546355,None (DC),None (DC),None (DC),None (DC),None (DC),88.13132252818393
Decreasing Power,30,123.33935546875,0.4411347210407257,23.137941529998617,49.24433427966877,54.409271240234375,0.42525733211601363,0.4359390228064538,193.6376807134697,19.75206756591797,1.0364534854888916,20.472018832438167,None (DC),None (DC),None (DC),None (DC),None (DC),88.4781336572052
Decreasing Power,40,123.33417510986328,0.6086088418960571,33.40783315331852,67.21801268571393,75.06227111816406,0.4450682434152232,0.5541623337528352,187.2328039842642,19.67183494567871,1.502427339553833,29.555448077645128,None (DC),None (DC),None (DC),None (DC),None (DC),88.46861735092591
Decreasing Power,50,123.30378723144531,0.7854337096214294,44.45384790585802,86.04178038837614,96.84695434570312,0.45901131539125506,0.6736709472733569,175.44915307332167,19.585092544555664,2.0014257431030273,39.19805677633835,None (DC),None (DC),None (DC),None (DC),None (DC),88.17697144991789
Decreasing Power,60,123.1217269897461,0.4822458326816559,57.17023783598799,16.029575254993127,59.37493896484375,0.9628681533439356,0.5867662880600201,25.993021972819104,19.48589515686035,2.572323799133301,50.12398158812144,None (DC),None (DC),None (DC),None (DC),None (DC),87.67495725996261
Decreasing Power,70,123.22254180908203,0.5663667321205139,67.62957776120167,17.22687349288733,69.78914642333984,0.9690558092079496,0.5609228354119727,23.580238294814194,19.40133285522461,3.047739028930664,59.130157835929644,None (DC),None (DC),None (DC),None (DC),None (DC),87.43239244331339
Decreasing Power,80,123.14752197265625,0.6384806036949158,76.5604754348113,17.909398304689635,78.62730407714844,0.9737136015714186,0.6015297216670049,21.859641689892584,19.3292293548584,3.448211431503296,66.65123787235575,None (DC),None (DC),None (DC),None (DC),None (DC),87.05698011124169
Decreasing Power,90,123.04741668701172,0.7272931337356567,87.57463573569937,18.423320238498537,89.49153900146484,0.9785800614543673,0.5899808343833743,19.66103397575719,19.24180030822754,3.938093423843384,75.77597738293181,None (DC),None (DC),None (DC),None (DC),None (DC),86.52731095750606
Decreasing Power,100,123.04911041259766,0.7943138480186462,95.97188872831727,18.504801954790825,97.73960876464844,0.9819139849373887,0.5636264165035147,17.846404081876056,19.167444229125977,4.30859375,82.58468868467027,None (DC),None (DC),None (DC),None (DC),None (DC),86.05091530339239
Random Power,0,124.021240234375,0.011069269850850105,0.12359998728501372,1.3672491679768826,1.3728245496749878,0.09003334571360605,0.5334874668645609,20.5554788422379,19.92993927001953,0.0029175705276429653,-0.003318591961321413,0.058052224680230864,0.05814700201153755,-0.05707245165731738,76.14105761494908,115.5388568928505,-2.6849452287312547
Random Power,10,123.86083221435547,0.044706542044878006,1.8962466960119406,5.202588633414569,5.537389278411865,0.34244417372003655,0.5492843203413675,195.15734551897623,19.91668128967285,0.07751956582069397,1.542864426726172,None (DC),None (DC),None (DC),None (DC),None (DC),81.36411944558803
Random Power,20,123.55487823486328,0.2366970330476761,11.806327425966467,26.756026351351714,29.245073318481445,0.4037031228266899,0.44764965777867965,205.988689115175,19.840675354003906,0.5251437425613403,10.4190465948428,None (DC),None (DC),None (DC),None (DC),None (DC),88.2496835716031
Random Power,30,123.94386291503906,0.4380076825618744,23.095922188295354,49.130488381743504,54.28836441040039,0.4254304295060087,0.4986076785290653,203.85648817227687,19.753938674926758,1.037664771080017,20.497880953215198,None (DC),None (DC),None (DC),None (DC),None (DC),88.75108249023803
Random Power,40,123.92230987548828,0.6026774048805237,33.336997021564855,66.83202601150494,74.68517303466797,0.4463670052165537,0.5815472966120909,189.62065812826336,19.673480987548828,1.5035291910171509,29.579596174383965,None (DC),None (DC),None (DC),None (DC),None (DC),88.72903625737398
Random Power,50,123.89080810546875,0.779807984828949,44.35200342736723,85.82885584468636,96.61103820800781,0.45907801272019677,0.6933402222224567,176.02106014019733,19.587514877319336,2.004373550415039,39.26065165713873,None (DC),None (DC),None (DC),None (DC),None (DC),88.52058221323345
Random Power,60,123.75540924072266,0.4792913496494293,57.069190120574994,16.166767845353526,59.31489562988281,0.9621392656016673,0.5568237737337621,26.01272798988313,19.48903465270996,2.574963092803955,50.18350376531435,None (DC),None (DC),None (DC),None (DC),None (DC),87.9344943555136
Random Power,70,123.83716583251953,0.5626464486122131,67.46693618050469,17.40785261313186,69.67654418945312,0.9682876348898644,0.5097038822522221,23.41966222091783,19.408706665039062,3.0501928329467773,59.20026497287876,None (DC),None (DC),None (DC),None (DC),None (DC),87.74707779006175
Random Power,80,123.79315948486328,0.6334440112113953,76.29011404401783,18.13542376819044,78.4160385131836,0.9728891626065967,0.5160906596903642,21.562226969588572,19.340126037597656,3.449875831604004,66.72100920792448,None (DC),None (DC),None (DC),None (DC),None (DC),87.45695303250935
Random Power,90,123.64964294433594,0.720455527305603,87.12217614272058,18.592946209249565,89.08406829833984,0.9779770705009907,0.5001346774383598,19.258019146195604,19.258100509643555,3.9344983100891113,75.77095044085235,None (DC),None (DC),None (DC),None (DC),None (DC),86.97091119111506
Random Power,100,123.16332244873047,0.7918447852134705,95.73312516040266,18.615470597008102,97.52623748779297,0.9816140520378965,0.5332394713333716,17.814113323418585,19.18964385986328,4.317090034484863,82.84339739184067,None (DC),None (DC),None (DC),None (DC),None (DC),86.53577040657034
