"Device Name","Directory","Nominal Input Voltage","Nominal Output Voltage","Nominal Power"
"Compaq PPP014L","Compaq PPP014L Laptop Charger",120,18.5,90
"HP 677777-002","HP 677777-002 Laptop Charger",120,19.5,90
"LG STA-U17WS","LG STA-U17WS Phone Charger",120,5.1,3.57
"Mean Well IRM-30-24ST","Mean Well IRM-30-24ST Power Supply",120,24,30
